237.75	49.50	35.91
238.00	49.50	36.22
238.25	49.50	36.58
238.50	49.50	36.96
238.75	49.50	37.44
239.00	49.50	37.75
239.25	49.50	37.79
239.50	49.50	37.84
239.75	49.50	37.99
240.00	49.50	38.38
241.25	49.50	37.52
241.50	49.50	37.53
242.25	49.50	40.20
242.50	49.50	40.68
246.50	49.50	50.16
246.75	49.50	49.70
247.25	49.50	46.99
253.00	49.50	49.27
253.25	49.50	49.30
254.00	49.50	49.20
254.25	49.50	49.36
237.25	49.25	35.31
237.50	49.25	35.60
237.75	49.25	35.86
238.00	49.25	36.09
238.25	49.25	36.59
238.50	49.25	37.19
238.75	49.25	37.61
239.00	49.25	37.76
239.25	49.25	37.76
239.50	49.25	37.66
239.75	49.25	37.68
240.00	49.25	38.24
240.25	49.25	38.63
240.50	49.25	39.11
240.75	49.25	38.89
241.00	49.25	38.11
241.25	49.25	37.29
241.50	49.25	37.03
241.75	49.25	37.75
242.00	49.25	39.31
242.25	49.25	40.64
242.50	49.25	41.00
242.75	49.25	40.78
243.00	49.25	40.48
243.25	49.25	39.83
243.50	49.25	39.50
243.75	49.25	39.30
244.00	49.25	39.58
244.25	49.25	39.93
244.50	49.25	40.51
244.75	49.25	41.06
245.00	49.25	42.02
245.25	49.25	43.50
245.50	49.25	44.54
245.75	49.25	45.83
246.00	49.25	47.65
246.25	49.25	49.77
246.50	49.25	50.95
246.75	49.25	50.24
247.00	49.25	48.17
247.25	49.25	46.51
247.50	49.25	45.18
247.75	49.25	43.93
248.00	49.25	43.17
248.25	49.25	43.03
248.50	49.25	42.95
248.75	49.25	43.50
249.00	49.25	44.72
249.25	49.25	46.17
249.50	49.25	47.45
249.75	49.25	48.31
250.00	49.25	49.03
250.25	49.25	49.14
250.50	49.25	48.69
250.75	49.25	47.91
251.00	49.25	47.38
251.25	49.25	47.69
251.50	49.25	47.35
251.75	49.25	47.85
252.00	49.25	48.11
252.25	49.25	48.62
252.50	49.25	48.97
252.75	49.25	49.24
253.00	49.25	49.26
253.25	49.25	49.36
253.50	49.25	49.26
253.75	49.25	49.12
254.00	49.25	49.14
254.25	49.25	49.28
254.50	49.25	49.59
254.75	49.25	49.99
255.00	49.25	50.17
255.25	49.25	50.66
255.50	49.25	50.96
255.75	49.25	51.22
256.00	49.25	51.30
256.25	49.25	51.35
256.50	49.25	51.22
256.75	49.25	51.05
257.00	49.25	50.27
257.25	49.25	48.57
257.50	49.25	46.96
257.75	49.25	46.08
258.00	49.25	45.79
258.25	49.25	46.51
258.50	49.25	47.77
258.75	49.25	48.75
259.00	49.25	49.22
259.25	49.25	48.87
259.50	49.25	48.33
259.75	49.25	47.99
260.00	49.25	47.62
260.25	49.25	47.42
260.50	49.25	47.29
260.75	49.25	47.01
261.00	49.25	46.42
261.25	49.25	45.61
261.50	49.25	44.72
261.75	49.25	44.09
262.00	49.25	43.70
262.25	49.25	43.63
262.50	49.25	43.38
262.75	49.25	43.14
263.00	49.25	43.17
263.25	49.25	43.42
263.50	49.25	43.62
263.75	49.25	43.53
264.00	49.25	42.86
264.25	49.25	42.21
264.50	49.25	41.77
264.75	49.25	41.48
265.00	49.25	41.46
265.25	49.25	41.50
236.75	49.00	34.85
237.00	49.00	34.88
237.25	49.00	35.04
237.50	49.00	35.43
237.75	49.00	35.86
238.00	49.00	36.07
238.25	49.00	36.64
238.50	49.00	37.31
238.75	49.00	37.76
239.00	49.00	37.73
239.25	49.00	37.69
239.50	49.00	37.44
239.75	49.00	37.36
240.00	49.00	37.37
240.25	49.00	37.89
240.50	49.00	38.80
240.75	49.00	39.32
241.00	49.00	38.27
241.25	49.00	37.13
241.50	49.00	36.56
241.75	49.00	36.99
242.00	49.00	39.41
242.25	49.00	40.92
242.50	49.00	40.99
242.75	49.00	40.49
243.00	49.00	40.48
